uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1f03c32a-e9cf-4551-bfca-87673f0711d2",1451,"Other","datetime","2018-10-18T03:49:04.000000+0000","",0,1540555900,"last-submission","","","",""
"5f555d33-f1b6-42b7-b206-03b0da8796ea",1451,"External analysis","link","https://www.virustotal.com/file/86b5aab2be0b3f29e3184fd2337792a80706cc593cc17de85eea2401af29738f/analysis/1539834544/","",0,1540555901,"permalink","","","",""
"11eb8dfc-9816-4000-978c-a777dcb0ef96",1451,"Other","text","20/57","",0,1540555901,"detection-ratio","","","",""
"5bf26a3e-d790-4108-a5c2-42f3950d210f",1457,"External analysis","link","https://researchcenter.paloaltonetworks.com/2018/11/unit42-analyzing-oilrigs-ops-tempo-testing-weaponization-delivery/","",0,1542613587,"","osint:source-type=""blog-post""","","",""
"5bf26ab1-f394-4f15-ac6d-4c87950d210f",1457,"Other","text","Unit 42â€™s continued look into #OilRig analyzes the groupâ€™s operational tempo, including testing, weaponization and attack delivery. Get the full report (link: https://researchcenter.paloaltonetworks.com/2018/11/unit42-analyzing-oilrigs-ops-tempo-testing-weaponization-delivery/) researchcenter.paloaltonetworks.com/2018/11/unit42-analyzing-oilrigs-ops-tempo-testing-weaponization-delivery/","",0,1542613681,"post","","","",""
"5bf26ab2-a9e4-417f-b9f4-4f53950d210f",1457,"Other","text","Twitter","",0,1542613682,"type","","","",""
"5bf26ab2-ed98-4f18-a4a0-4627950d210f",1457,"External analysis","link","https://mobile.twitter.com/Unit42_Intel/status/1063461728971907072","",0,1543005795,"url","","","",""
"5bf26ab3-a42c-4278-aad5-44db950d210f",1457,"Other","datetime","2018-11-16T05:00:00.000000+0000","",0,1542613683,"creation-date","","","",""
"5bf26ab3-b264-44e7-b47a-47a2950d210f",1457,"Other","text","@Unit42_Intel","",0,1542613683,"username","","","",""
"5bf3dce0-68a0-40e1-bb6b-4e03950d210f",1457,"Payload delivery","filename","XLS-withyourface.xls","",1,1542708465,"filename","","","",""
"5bf3dce0-c2d4-4cde-af86-478a950d210f",1457,"Payload delivery","sha256","6f522b1be1f2b6642c292bb3fb57f523ebedeb04f0d18efa2a283e79f3689a9f","",1,1542708448,"sha256","","","",""
"5bf3dce1-499c-4acc-8351-4a7a950d210f",1457,"Other","text","Malicious","",0,1542708449,"state","","","",""
"5bf3dd1a-09c0-4dd8-8159-4192950d210f",1457,"Payload delivery","filename","XLS-withyourface.xls","",1,1542708506,"filename","","","",""
"5bf3dd1a-0b0c-4a9b-9dca-48a5950d210f",1457,"Payload delivery","sha256","9b6ebc44e4452d8c53c21b0fdd8311bac10dc672309b67d7f214fbd2a08962ce","",1,1542708506,"sha256","","","",""
"5bf3dd1b-26d0-4f85-ae90-448e950d210f",1457,"Other","text","Malicious","",0,1542708507,"state","","","",""
"5bf3e00c-1ae4-4316-8459-4c6e950d210f",1457,"Payload delivery","filename","XLS-withyourface.xls","",1,1542709260,"filename","","","",""
